Site ID,AER Field Centre,PETRINEX FACILITY SUBTYPE,Well Status,EMISSION TYPE,MAJOR EQUIPMENT,COMPONENT SERVICE TYPE,COMPONENT TYPE,MEASUREMENT DEVICE,Leak TAG,THC Leak Rate (sm3/hr)
Gas Gathering 16,Midnapore,Compressor Station,,Leak,Screw Compressor,Process Gas,Regulator,Highflow,201919,0.203838069
Gas Gathering 16,Midnapore,Compressor Station,,Leak,Screw Compressor,Process Gas,PRV/PSV,Highflow,201918,0.135892046
Gas Gathering 17,Medicine Hat,Gas Gathering System,,Leak,Reciprocating Compressor,Process Gas,Compressor Seal,Highflow,201835,1.165719693
Gas Gathering 17,Medicine Hat,Gas Gathering System,,Leak,Reciprocating Compressor,Process Gas,Compressor Seal,Highflow,201836,0.383460425
Gas Gathering 17,Medicine Hat,Gas Gathering System,,Leak,Reciprocating Compressor,Process Gas,Compressor Seal,Estimate,201837,3.629647792
Gas Gathering 2,Medicine Hat,Compressor Station,,Leak,Reciprocating Compressor,Process Gas,Connector,Estimate,1,0.240804234
Gas Gathering 2,Medicine Hat,Compressor Station,,Leak,Other (describe in notes),Process Gas,Connector,Estimate,201910,0.064620492
Gas Gathering 20,Red Deer,Gas Gathering System,,Leak,Reciprocating Compressor,Process Gas,Connector,Highflow,201333,0.078067958
Gas Gathering 20,Red Deer,Gas Gathering System,,Leak,Reciprocating Compressor,Process Gas,Connector,Highflow,201334,0.015613592
Gas Gathering 20,Red Deer,Gas Gathering System,,Leak,Reciprocating Compressor,Process Gas,Connector,Highflow,201336,0.138125559
Gas Gathering 20,Red Deer,Gas Gathering System,,Leak,Dehydrator - Glycol,Process Gas,Connector,Highflow,201338,0.061389137
Gas Gathering 20,Red Deer,Gas Gathering System,,Leak,Dehydrator - Glycol,Process Gas,Connector,Highflow,201339,0.092083706
Gas Gathering 20,Red Deer,Gas Gathering System,,Leak,Dehydrator - Glycol,Process Gas,Control Valve,Highflow,201340,0.199514696
Gas Gathering 20,Red Deer,Gas Gathering System,,Vent,Production Tank (fixed roof),Process Gas,Open-Ended Line,Estimate,201342,0.150615147
Gas Gathering 20,Red Deer,Gas Gathering System,,Leak,Reciprocating Compressor,Process Gas,Compressor Seal,Highflow,201335,1.637987219
Gas Gathering 20,Red Deer,Gas Gathering System,,Unlit Flare,Flare KnockOut Drum,Process Gas,Open-Ended Line,Estimate,201341,3.778311466
Gas Gathering 20,Red Deer,Gas Gathering System,,Leak,Reciprocating Compressor,Light Liquid,Connector,Highflow,201337,0.109696258
Gas Gathering 21,Red Deer,Gas Gathering System,,Leak,Screw Compressor,Process Gas,Control Valve,Highflow,201357,0.518562777
Gas Gathering 21,Red Deer,Gas Gathering System,,Leak,Dehydrator - Glycol,Process Gas,Regulator,Highflow,201360,0.045295145
Gas Gathering 21,Red Deer,Gas Gathering System,,Unlit Flare,Flare KnockOut Drum,Process Gas,Open-Ended Line,Estimate,201361,1.471458899
Gas Gathering 22,Drayton Valley,Gas Gathering System,,Leak,Reciprocating Compressor - Electric Driver,Process Gas,PRV/PSV,Highflow,201980,0.692990466
Gas Gathering 22,Drayton Valley,Gas Gathering System,,Leak,Reciprocating Compressor - Electric Driver,Process Gas,Valve,Highflow,201979,0.307995763
Gas Gathering 25,Red Deer,Gas Gathering System,,Leak,Pig Trap,Process Gas,Open-Ended Line,Highflow,201345,0.326858799
Gas Gathering 25,Red Deer,Gas Gathering System,,Leak,Gas Pipeline Header,Process Gas,Connector,Highflow,201346,0.140082342
Gas Gathering 25,Red Deer,Gas Gathering System,,Leak,Reciprocating Compressor,Process Gas,Compressor Seal,Highflow,201347,0.544764665
Gas Gathering 25,Red Deer,Gas Gathering System,,Leak,Reciprocating Compressor,Process Gas,Connector,Highflow,201348,0.154080919
Gas Gathering 25,Red Deer,Gas Gathering System,,Leak,Production Tank (fixed roof),Process Gas,Open-Ended Line,Estimate,201344,7.435409242
Gas Gathering 26,Midnapore,Gas Gathering System,,Leak,Reciprocating Compressor,Process Gas,Connector,Highflow,204046,0.031707149
Gas Gathering 26,Midnapore,Gas Gathering System,,Leak,Reciprocating Compressor,Process Gas,Connector,Highflow,204045,0.015853575
Gas Gathering 26,Midnapore,Gas Gathering System,,Leak,Reciprocating Compressor,Process Gas,Connector,Highflow,204044,0.015853575
Gas Gathering 26,Midnapore,Gas Gathering System,,Leak,Reciprocating Compressor,Process Gas,Compressor Seal,Highflow,204047,0.539021536
